video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=2Bl7fwljfS4&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@TEDx,TEDx Talks,The Role of Artificial Intelligence in Society | Victor Fuentes | TEDxYouth@ASFM,15K,5 years,"We all use artificial intelligence, it is very advanced and it will keep evolving. How are we preparing for the advance in technology ...",2024-01-29 07:31:00.606573
/watch?v=F7CcpYPKzII&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@TEDx,TEDx Talks,AI and its implications on society | Alexander Chow | TEDxYouth@UWCAC,985,8 months,Alex explores the potential of AI and its impact on our society. From his own experience in creating AI prototypes to the emergence ...,2024-01-29 07:31:00.616285
/watch?v=xoVJKj8lcNQ&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@CenterforHumaneTechnology,Center for Humane Technology,"The A.I. Dilemma - March 9, 2023",3.2M,9 months,"Tristan Harris and Aza Raskin discuss how existing A.I. capabilities already pose catastrophic risks to a functional society, how A.I. ...",2024-01-29 07:31:00.623555
/watch?v=Qh0WQWACCDg&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@DrJordanBPetersonClips,Jordan B Peterson Clips,How AI Is Reshaping Society and What Jordan Peterson Has To Say About It,156K,11 months,"At the London, Ontario stop of Dr Peterson's Beyond Order Tour an audience member asked him what his position is on AI, the ...",2024-01-29 07:31:00.626512
/watch?v=yAgQWnD31nE&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@PBSNewsHour,PBS NewsHour,'Godfather of AI' discusses dangers the developing technologies pose to society,405K,8 months,This has been a week where concerns over the rapidly expanding use of artificial intelligence resonated loudly in Washington and ...,2024-01-29 07:31:00.635056
/watch?v=LWiM-LuRe6w&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@YuvalNoahHarari,Yuval Noah Harari ,AI and the future of humanity | Yuval Noah Harari at the Frontiers Forum,2M,8 months,"In this keynote and Q&A, Yuval Noah Harari summarizes and speculates on 'AI and the future of humanity'. There are a number of ...",2024-01-29 07:31:00.641214
/watch?v=RzkD_rTEBYs&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@TEDEd,TED-Ed,How will AI change the world?,1.5M,1 year,Explore the current limitations of artificial intelligence and the possibility of creating human-compatible technology. -- In the ...,2024-01-29 07:31:00.645670
/watch?v=540vzMlf-54&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@ABCNews,ABC News,"OpenAI CEO, CTO on risks and how AI will reshape society",1.9M,10 months,OpenAI CEO Sam Altman tells ABC News' Rebecca Jarvis that AI will reshape society and acknowledges the risks: “I think people ...,2024-01-29 07:31:00.653448
/watch?v=A-wCBj6FQT0&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@livenowfox,LiveNOW from FOX,Artificial Intelligence: How will the rise of AI impact society? |  LiveNOW from FOX,6.9K,8 months,"Dr. Tim Weninger Ph.D, professor of computer science at The University of Notre Dame says there are both good and bad aspects ...",2024-01-29 07:31:00.656123
/watch?v=LLFVRFa9pVs&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@drjasonfreeman,Dr. Jason Freeman,A Sociologist Predicts 5 Ways AI Will Change Society!,220,8 months,"In this video, a sociologist describes social changes that will occur due to the rise of artificial intelligence. #AI technology #Social ...",2024-01-29 07:31:00.663337
/watch?v=Fv6700S5H9o&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@That_Chemist,That Chemist,The Alarming Impact of AI on Society: Are You Ready for the Future?,9.1K,11 months,We've been playing around with AI for a while - what can it do? Support the Channel on Patreon ...,2024-01-29 07:31:00.666380
/watch?v=d9WUQtvmKBI&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@encanews,eNCA,Artificial intelligence | Impact of AI on business and society,738,7 days,The gradual introduction of artificial intelligence into our professional and personal lives continues to cause great confusion.,2024-01-29 07:31:00.673684
/watch?v=JHU77dRMRVg&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@dwnews,DW News,How the AI revolution disrupts societies | DW News,139K,9 months,AI systems such as OpenAI's ChatGPT are dominating headlines. There are concerns that their rise may lead to the displacement ...,2024-01-29 07:31:00.681478
/watch?v=Qeaxem4IBCk&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@CaptainAI,Captain AI,AI and Society,26,8 months,Artificial Intelligence (AI) has the potential to transform society in significant ways. As machines become more capable of ...,2024-01-29 07:31:00.684620
/watch?v=mltQVVtfomk&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@omarmahran7334,omar mahran,AI and society,28,5 years,This video discusses potential effects of Artificial intelligence on society and presents different ideas on how its going to shape our ...,2024-01-29 07:31:00.691691
/watch?v=avqMUyNrkGY&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@AndreiJikh,Andrei Jikh,All The Jobs AI Will Replace In 5 Years (And Jobs That It Won’t),257K,5 months,"My PO Box: Andrei Jikh 4132 S. Rainbow Blvd # 270 Las Vegas, NV 89103 Soundtrack by melodysheep: The Arrow of Time: ...",2024-01-29 07:31:00.694467
/watch?v=-ePZ7OdY-Dw&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@DWDocumentary,DW Documentary,How artificial intelligence is changing our society | DW Documentary,2.8M,3 years,"Artificial intelligence (AI) is changing our lives. It touches on all aspects of society - private life, business, security -- including in the ...",2024-01-29 07:31:00.702597
/watch?v=5rdeqzLQ92Q&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@TheAlanTuringInstituteUK,The Alan Turing Institute,Artificial intelligence and society: In conversation with Jeff Sachs,25K,5 years,"Eighty years after Alan Turing launched the digital age, the revolutionary consequences continue to unfold. The changes are so ...",2024-01-29 07:31:00.706313
/watch?v=Jq3ayZROHKQ&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@MicrosoftEurope,Microsoft Europe,Microsoft President Brad Smith talks AI and society,3.9K,5 years,"Microsoft's president and chief legal officer Brad Smith discusses the future of artificial intelligence (AI) and its impact on society, ...",2024-01-29 07:31:00.714918
/watch?v=A58xGTlVk1Y&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@InfoInfinity001,Info Infinity,Can you make money with AI in 2024?  Learn AI Automation for FREE,5,9 hours,"Can you make money with AI in 2024? Learn AI Automation for FREE Welcome to ""Fast Track to Fortune: Making Money with AI,"" ...",2024-01-29 07:31:09.198761
/watch?v=4cSeopUccdI&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@PostLive,Washington Post Live,"AI and Ethics: People, Robots and Society",3K,5 years,"Jack Clark, strategy and communications director at OpenAI, Milind Tambe, founding co-director of the Center for Artificial ...",2024-01-29 07:31:09.206808
/watch?v=jju1egEnyYw&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@AILAcommunity,Artificial Intelligence Los Angeles Community,AI and Society: Creating a Fair and Ethical Future,148,5 years,"On October 25th, 2018 the AI LA Community hosted their inaugural symposium. As Artificial Intelligence (AI) begins to percolate ...",2024-01-29 07:31:09.212268
/watch?v=31T4qaJ4y50&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@Google,Google,Thomas L. Friedman and James Manyika | Dialogues on Technology and Society | Ep 1: AI & Society,40K,1 year,"Building on their multi-year dialogues, New York Times columnist and author Thomas L. Friedman, and Google SVP of ...",2024-01-29 07:31:09.217420
/watch?v=6S2EZWnmdIE&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@mbawhisperer,MBA Whisperer,Understanding AI - Ethical Dilemmas and Future Perspectives (2 Minutes),No,18 hours,"Join us as we delve into the world of artificial intelligence, examining its impact on industries, ethical challenges, and the future of ...",2024-01-29 07:31:09.220697
/watch?v=wqTkotBdeKE&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@futuresummitsonline,FutureSummitsOnline,"James Taylor - Creativity, A.I. and Innovation - Future of the Future Summit 2020",No,18 hours,"""Creativity, A.I. and Innovation"" James Taylor M.B.A. F.R.S.A. - who started his career managing high profile rock stars - is now an ...",2024-01-29 07:31:09.223747
/watch?v=MlajKAdDxrY&pp=ygUOQUkgYW5kIFNvY2lldHk%3D,/@SamaaMoneyy,Samaa Money,Importance of AI in Future | Future Fest 2024-2025 | Expo Center Lahore | AI | Technology,55,16 hours,samaatv #FutureFest2025 #ExpoCenterLahore #SamaaMoney #ebikes #technology #artificialintelligence #AI Importance of AI in ...,2024-01-29 07:31:09.226636
/shorts/BCwYDp3dKEw,/@TrendingNow500,TrendingNow,AI Regulation: A Global Concern,No,19 hours,"In this thought-provoking video, we delve into the fascinating discussions that took place at the World Economic Forum regarding ...",2024-01-29 07:31:09.230067
